Nombre Buque;Cód UE;Pareja;Cód UE Pareja;Puerto Venta;Puerto Base;Trimestre;Trimestre Desembarco;Año;Año construcción;TRB;GT;Potencia CV;Potencia KW;Eslora total;Eslora PP;Zona;Metier;Especie Oficial;Especie Científico;Especie Inglés;Especie ALFA3;Kg Desembarcados;Kg Desemb Peso Vivo;Precio por Kg;Precio Total
A Tenencia (ex Maria Javier);ESP000021641;;;Getaria;Sada;2;2;2019;1989;63,12;61;425;;21,32;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;14259,3;14259,3;0,949926785;13545,291
Abelan Uno;ESP000023265;;;Getaria;Pasaia;2;2;2020;1995;5,26;5,85;24;;9,25;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;5977;5977;0,672151916;4017,452
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;3;3;2020;1995;5,26;5,85;24;;9,25;;27.8.c;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;43,3;43,3;0,317537092;13,74935608
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;2;2;2019;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;20,4;20,4;1,699411765;34,668
Agarimo Dous;ESP000022209;;;Hondarribia;Ares;2;2;2019;1991;75,36;81,94;410;;25;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;7631,9;7631,9;0,512145861;3908,646
Agustin Deuna;ESP000025315;;;Getaria;Getaria;1;1;2019;2002;149,5;226;1100;;36,2;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;1017,6;1017,6;2,83;2879,808
Agustin Deuna;ESP000025315;;;Getaria;Getaria;2;2;2019;2002;149,5;226;1100;;36,2;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;36194;36194;1,284280544;46483,25
Agustin Deuna;ESP000025315;;;Getaria;Getaria;1;1;2020;2002;149,5;226;1100;;36,2;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;345,6;345,6;0,28;96,768
Aitana del Mar (ex Nuevo Jose David);ESP000025325;;;Ondarroa;Laredo;3;3;2019;2002;133,45;154;400;;27,19;;27.8.abd;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;74,9;74,9;0,134606142;10,082
Aitana del Mar (ex Nuevo Jose David);ESP000025325;;;Pasaia;Laredo;4;4;2020;2002;133,45;154;400;;27,19;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;24131,5;24131,5;0,659408864;15912,525
Aketxe;ESP000023062;;;Ondarroa;Ondarroa;1;4;2020;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;252;252;1,839206349;463,48
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;4;4;2019;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;28;28;;
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;2;2;2020;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;76567,5;76567,5;;
Albo Puertas;ESP000023804;;;Ondarroa;Castro Urdiales;4;4;2019;1998;57,62;75,61;216;;24;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;10836,1;10836,1;0,989673406;10724,2
Albo Puertas;ESP000023804;;;Ondarroa;Castro Urdiales;4;4;2020;1998;57,62;75,61;216;;24;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;5023,8;5023,8;0,128240376;644,254
Almirante Berria (ex Gure Gizizti);ESP000024515;;;Bermeo;Hondarribia;2;2;2020;2000;75,46;114,23;480;;26,5;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;4162;4162;0,712352235;2964,81
Almirante Berria (ex Gure Gizizti);ESP000024515;;;Hondarribia;Hondarribia;1;1;2019;2000;75,46;114,23;480;;26,5;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;3349;3349;1,3;4353,7
Almirante Berria (ex Gure Gizizti);ESP000024515;;;Hondarribia;Hondarribia;2;2;2019;2000;75,46;114,23;480;;26,5;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;22100,35;22100,35;1,299805659;28726,16
Almirante Berria (ex Gure Gizizti);ESP000024515;;;Hondarribia;Hondarribia;4;4;2019;2000;75,46;114,23;480;;26,5;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;7980,7;7980,7;0,841727041;6717,571
Almirante Berria (ex Gure Gizizti);ESP000024515;;;Hondarribia;Hondarribia;3;3;2020;2000;75,46;114,23;480;;26,5;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;125;125;;
Amatxo (3BI21-96);ESP000023244;;;Bermeo;Bermeo;1;1;2019;1996;78;94;624;;25,56;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;48641;48641;1,269142493;61732,36
Amatxo (3BI21-96);ESP000023244;;;Ondarroa;Bermeo;2;2;2019;1996;78;94;624;;25,56;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;1790;1790;1,18;2112,2
Amets;ESP000022800;;;Pasaia;Getaria;1;1;2020;1994;19,38;41,73;120;;15,65;;27.8.c;LLS_DEF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;15,8;15,8;3,376772152;53,353
Amets;ESP000022800;;;Pasaia;Getaria;4;4;2020;1994;19,38;41,73;120;;15,65;;27.8.c;LLS_DEF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;2;2;0,35;0,7
A Tenencia (ex Maria Javier);ESP000021641;;;Ondarroa;Sada;2;2;2019;1989;63,12;61;425;;21,32;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;22705,7;22705,7;0,604597524;13727,81
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;1;1;2020;1995;5,26;5,85;24;;9,25;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;73,9;73,9;2,048917456;151,415
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;3;2;2020;1995;5,26;5,85;24;;9,25;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;23,5;23,5;1,665404255;39,137
Abra de Aguiño;ESP000026741;;;Hondarribia;Santa Uxia de Ribeira;4;4;2019;2006;85,9;113;380;;27,14;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;265,2;265,2;0,96;254,592
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;1;1;2019;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;3317,5;3317,5;2,295169555;7614,225
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;4;4;2019;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;1500,2;1500,2;0,754862685;1132,445
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;1;1;2020;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;74475,9;74475,9;1,010897995;75287,538
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;2;2;2020;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;999,2;999,2;0,4;399,68
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;4;4;2020;2006;85,9;113;380;;27,14;;27.8.abd;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;13772,9;13772,9;0,370883329;5108,139
Agustin Deuna;ESP000025315;;;Getaria;Getaria;2;2;2019;2002;149,5;226;1100;;36,2;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;8108;8108;1,38;11189,04
Agustin Deuna;ESP000025315;;;Getaria;Getaria;2;2;2020;2002;149,5;226;1100;;36,2;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;24842,2;24842,2;1,291610485;32086,446
Agustin Deuna;ESP000025315;;;Getaria;Getaria;4;4;2020;2002;149,5;226;1100;;36,2;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;88629,5;88629,5;0,611309598;54180,064
Aitana del Mar (ex Nuevo Jose David);ESP000025325;;;Hondarribia;Laredo;2;2;2019;2002;133,45;154;400;;27,19;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;13136,9;13136,9;1,032444336;13563,118
Aitana del Mar (ex Nuevo Jose David);ESP000025325;;;Ondarroa;Laredo;1;1;2020;2002;133,45;154;400;;27,19;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;911,9;911,9;0,22;200,618
Aitana del Mar (ex Nuevo Jose David);ESP000025325;;;Ondarroa;Laredo;4;4;2020;2002;133,45;154;400;;27,19;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;17198;17198;0,525586173;9039,031
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;2;2;2019;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;156605,3;156605,3;;
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;1;;2020;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;2404;2404;;
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;2;1;2020;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;4680;4680;;
Alain Bi;ESP000021920;;;Getaria;Getaria;1;1;2019;1990;4,99;4,34;34;;8,2;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;9286,1;9286,1;1,244922734;11560,477
Alain Bi;ESP000021920;;;Getaria;Getaria;2;2;2020;1990;4,99;4,34;34;;8,2;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;3182,8;3182,8;0,671730552;2137,984
Alain Bi;ESP000021920;;;Pasaia;Getaria;1;1;2020;1990;4,99;4,34;34;;8,2;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;19,9;19,9;2;39,8
Albo Puertas;ESP000023804;;;Ondarroa;Castro Urdiales;2;2;2019;1998;57,62;75,61;216;;24;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;3700,1;3700,1;0,765513635;2832,477
Albo Puertas;ESP000023804;;;Pasaia;Castro Urdiales;4;4;2019;1998;57,62;75,61;216;;24;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;1011;1011;0,62;626,82
Almirante Berria (ex Gure Gizizti);ESP000024515;;;Hondarribia;Hondarribia;1;1;2019;2000;75,46;114,23;480;;26,5;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;38,5;38,5;1;38,5
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;1;1;2019;1995;5,26;5,85;24;;9,25;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;388,7;388,7;1,915724209;744,642
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;1;1;2019;1995;5,26;5,85;24;;9,25;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;21094;21094;1,225645444;25853,765
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;1;4;2019;1995;5,26;5,85;24;;9,25;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;1;1;1,4;1,4
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;2;2;2020;1995;5,26;5,85;24;;9,25;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;52;52;1,702519231;88,531
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;2;2;2020;1995;5,26;5,85;24;;9,25;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;8106;8106;0,764483099;6196,9
Abra de Aguiño;ESP000026741;;;Hondarribia;Santa Uxia de Ribeira;2;2;2019;2006;85,9;113;380;;27,14;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;4906,2;4906,2;1,250367902;6134,555
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;2;2;2019;2006;85,9;113;380;;27,14;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;29959,9;29959,9;1,377185972;41260,354
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;4;4;2020;2006;85,9;113;380;;27,14;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;1161,6;1161,6;3,741363636;4345,968
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;4;4;2020;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;40739,4;40739,4;0,481733334;19625,527
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;4;4;2020;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;32829,1;32829,1;1,131432936;37143,925
Abra de Aguiño;ESP000026741;;;Pasaia;Santa Uxia de Ribeira;4;4;2019;2006;85,9;113;380;;27,14;;27.8.abd;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;823;823;0,17837181;146,8
Agarimo Dous;ESP000022209;;;Ondarroa;Ares;2;2;2019;1991;75,36;81,94;410;;25;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;13179,2;13179,2;1,355248574;17861,092
Agustin Deuna;ESP000025315;;;Getaria;Getaria;1;1;2020;2002;149,5;226;1100;;36,2;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;1738,8;1738,8;1,176441224;2045,596
Agustin Deuna;ESP000025315;;;Getaria;Getaria;2;2;2020;2002;149,5;226;1100;;36,2;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;6559;6559;0,7;4591,3
Aita Joxe;ESP000023420;;;Pasaia;Hondarribia;1;1;2019;1996;3,96;3,63;28;;10,05;;27.8.c;LLS_DEF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;3;3;3,92;11,76
Aita Ramon;ESP000025230;;;Hondarribia;Hondarribia;1;1;2019;2001;57,65;58;252,96;;21;;27.8.abd;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;22013,2;22013,2;1,271151673;27982,116
Aita Ramon;ESP000025230;;;Hondarribia;Hondarribia;2;2;2020;2001;57,65;58;252,96;;21;;27.8.abd;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;24156;24156;0,711654454;17190,725
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;2;1;2019;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;3722;3722;;
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;1;1;2020;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;52269,8;52269,8;;
Alain Bi;ESP000021920;;;Getaria;Getaria;2;2;2019;1990;4,99;4,34;34;;8,2;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;1142,7;1142,7;1,327097226;1516,474
Alain Bi;ESP000021920;;;Pasaia;Getaria;1;1;2020;1990;4,99;4,34;34;;8,2;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;7,4;7,4;2,91;21,534
Albo Puertas;ESP000023804;;;Ondarroa;Castro Urdiales;4;4;2019;1998;57,62;75,61;216;;24;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;4,8;4,8;3;14,4
Albo Puertas;ESP000023804;;;Ondarroa;Castro Urdiales;1;1;2020;1998;57,62;75,61;216;;24;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;817,5;817,5;2,17;1773,975
Albo Puertas;ESP000023804;;;Pasaia;Castro Urdiales;2;2;2019;1998;57,62;75,61;216;;24;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;18465,5;18465,5;0,741004576;13683,02
A Tenencia (ex Maria Javier);ESP000021641;;;Ondarroa;Sada;2;2;2019;1989;63,12;61;425;;21,32;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;5419,6;5419,6;2,167447044;11746,696
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;3;3;2019;1995;5,26;5,85;24;;9,25;;27.8.c;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;81,3;81,3;0,337274052;27,42038047
Abelan Uno;ESP000023265;;;Pasaia;Pasaia;1;1;2020;1995;5,26;5,85;24;;9,25;;27.8.c;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;7,3;7,3;1,29;9,417
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;2;2;2020;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;21359,9;21359,9;1,211881001;25885,657
Agustin Deuna;ESP000025315;;;Getaria;Getaria;1;1;2019;2002;149,5;226;1100;;36,2;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;1441,2;1441,2;2,12839023;3067,436
Agustin Deuna;ESP000025315;;;Getaria;Getaria;4;4;2019;2002;149,5;226;1100;;36,2;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;54437,9;54437,9;0,885435129;48201,229
Agustin Deuna;ESP000025315;;;Getaria;Getaria;2;2;2020;2002;149,5;226;1100;;36,2;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;5052,4;5052,4;3,349266883;16921,836
Aita Ramon;ESP000025230;;;Ondarroa;Hondarribia;2;2;2019;2001;57,65;58;252,96;;21;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;14226,1;14226,1;1,329045417;18907,133
Aitana del Mar (ex Nuevo Jose David);ESP000025325;;;Ondarroa;Laredo;4;4;2019;2002;133,45;154;400;;27,19;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;22993,7;22993,7;0,834686284;19192,526
Aitana del Mar (ex Nuevo Jose David);ESP000025325;;;Ondarroa;Laredo;4;4;2019;2002;133,45;154;400;;27,19;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;957;957;0,571221526;546,659
Aitana del Mar (ex Nuevo Jose David);ESP000025325;;;Ondarroa;Laredo;1;1;2020;2002;133,45;154;400;;27,19;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;3785;3785;2,641074769;9996,468
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;2;2;2019;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;5193,05;5193,05;;
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;4;3;2019;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;12;12;;
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;1;;2020;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;438;438;;
Aketxe;ESP000023062;Gaztelugatxe;ESP000023061;Ondarroa;Ondarroa;3;3;2020;1995;138,5;195,53;270;;26;;27.8.c;PTB_MPD_>=55_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;1907,25;1907,25;;
Albo Puertas;ESP000023804;;;Bermeo;Castro Urdiales;2;2;2019;1998;57,62;75,61;216;;24;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;14642;14642;1,070613304;15675,92
Albo Puertas;ESP000023804;;;Pasaia;Castro Urdiales;4;4;2020;1998;57,62;75,61;216;;24;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;653;653;0,75;489,75
Almikeko Ama (ex Beti Txanka);ESP000023019;;;Bermeo;Bermeo;2;2;2019;1995;76,74;93;316;;25,35;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;24389;24389;1,336889171;32605,39
Almirante Berria (ex Gure Gizizti);ESP000024515;;;Hondarribia;Hondarribia;1;1;2020;2000;75,46;114,23;480;;26,5;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;1150;1150;;
Amets;ESP000022800;;;Pasaia;Getaria;3;3;2019;1994;19,38;41,73;120;;15,65;;27.8.c;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;53,9;53,9;0,740779221;39,928
Amets;ESP000022800;;;Pasaia;Getaria;2;2;2020;1994;19,38;41,73;120;;15,65;;27.8.c;LLS_DEF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;252,7;252,7;1,426533881;360,4851117
Amets;ESP000022800;;;Pasaia;Getaria;4;3;2020;1994;19,38;41,73;120;;15,65;;27.8.c;LLS_DEF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;1,2;1,2;3,72;4,464
Andrekala Berria;ESP000024580;Arretxu Berria;ESP000024563;Ondarroa;Ondarroa;1;1;2019;2000;149,89;254;500;;29;;27.8.c;PTB_MPD_>=55_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;1432,75;1432,75;;
A Tenencia (ex Maria Javier);ESP000021641;;;Bermeo;Sada;2;2;2019;1989;63,12;61;425;;21,32;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;15659;15659;1,929810333;30218,9
A Tenencia (ex Maria Javier);ESP000021641;;;Getaria;Sada;2;2;2019;1989;63,12;61;425;;21,32;;27.8.abd;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;13482,7;13482,7;0,954531585;12869,663
A Tenencia (ex Maria Javier);ESP000021641;;;Ondarroa;Sada;2;2;2019;1989;63,12;61;425;;21,32;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;42976,5;42976,5;1,445986528;62143,44
Abelan Uno;ESP000023265;;;Getaria;Pasaia;1;1;2020;1995;5,26;5,85;24;;9,25;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;16573,8;16573,8;0,733940677;12164,186
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;1;1;2019;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;23963;23963;1,555910946;37284,294
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;4;4;2019;2006;85,9;113;380;;27,14;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;423,6;423,6;3,178777148;1346,53
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;4;4;2019;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;252,5;252,5;3,210146535;810,562
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;2;2;2020;2006;85,9;113;380;;27,14;;27.8.abd;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;8120;8120;0,8;6496
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;2;2;2020;2006;85,9;113;380;;27,14;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;38,1;38,1;1,16;44,196
Abra de Aguiño;ESP000026741;;;Ondarroa;Santa Uxia de Ribeira;4;4;2020;2006;85,9;113;380;;27,14;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;75955,5;75955,5;1,016201842;77186,119
Agustin Deuna;ESP000025315;;;Bermeo;Getaria;2;2;2019;2002;149,5;226;1100;;36,2;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;5576;5576;2,001402439;11159,82
Agustin Deuna;ESP000025315;;;Bermeo;Getaria;2;2;2019;2002;149,5;226;1100;;36,2;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;216;216;1,13;244,08
Agustin Deuna;ESP000025315;;;Getaria;Getaria;3;3;2019;2002;149,5;226;1100;;36,2;;27.8.abd;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;1393,4;1393,4;1,842519018;2567,366
